# source: http://www.linguistics.ucla.edu/people/hayes/ShakespeareAndMilton/
# author: milton
# title: paradise lost, books 8, 9.
# coder: bruce hayes
1	syllables	NO more of talk where God or Angel Guest	NO	more	of	talk	where	God	or	An	gel	Guest	
7	comment	Disloyal on the part of Man, revolt,											
8	syllables	And disobedience: On the part of Heav'n	And	di	so	be	dience:	On	the	part	of	Heav'n	
8	stress	And disobedience: On the part of Heav'n	1	2	1	4	1	1	1	3	1	4	
8	juncture	And disobedience: On the part of Heav'n	2	1	1	1	5	2	2	3	2	4	
8	comment	And disobedience: On the part of Heav'n											
9	syllables	Now alienated, distance and distaste,	Now	a	lie	na	ted,	dis	tance	and	dis	taste,	
9	stress	Now alienated, distance and distaste,	3	4	1	2	1	3	1	1	1	4	
9	juncture	Now alienated, distance and distaste,	3	1	1	1	5	1	4	2	1	5	
9	comment	Now alienated, distance and distaste,											
10	syllables	Anger and just rebuke, and judgement giv'n,	An	ger	and	just	re	buke,	and	judge	ment	giv'n,	
10	stress	Anger and just rebuke, and judgement giv'n,	3	1	1	3	1	4	1	3	1	4	
10	juncture	Anger and just rebuke, and judgement giv'n,	1	4	2	3	1	5	2	1	4	5	
10	comment	Anger and just rebuke, and judgement giv'n,											
11	syllables	That brought into this World a world of woe,	That	brought	in	to	this	World	a	world	of	woe,	
11	stress	That brought into this World a world of woe,	1	3	1	2	1	4	1	3	1	4	
11	juncture	That brought into this World a world of woe,	2	3	1	2	2	4	2	3	2	5	
11	comment	That brought into this World a world of woe,	into in Milton: 44 WS; 32 SW; 62 postpausal.  All but 2 of the SW are in RR contexts.  Shakespeare is similar.										
12	syllables	Sinne and her shadow Death, and Miserie	Sinne	and	her	sha	dow	Death,	and	Mi	se	rie	
12	stress	Sinne and her shadow Death, and Miserie	3	1	1	3	1	4	1	4	1	1	
12	juncture	Sinne and her shadow Death, and Miserie	4	2	2	1	4	5	2	1	1	4	
12	comment	Sinne and her shadow Death, and Miserie											
13	syllables	Deaths Harbinger: Sad task, yet argument	Deaths	Har	bin	ger:	Sad	task,	yet	ar	gu	ment	
13	stress	Deaths Harbinger: Sad task, yet argument	3	4	1	1	3	4	1	3	1	1	
13	juncture	Deaths Harbinger: Sad task, yet argument	4	1	1	5	3	5	2	1	1	3	
13	comment	Deaths Harbinger: Sad task, yet argument											
14	syllables	Not less but more Heroic then the wrauth	Not	less	but	more	He	ro	ic	then	the	wrauth	
14	stress	Not less but more Heroic then the wrauth	1	3	1	4	1	3	1	1	1	3	
14	juncture	Not less but more Heroic then the wrauth	2	4	2	2	1	1	3	2	2	3	
14	comment	Not less but more Heroic then the wrauth											
15	syllables	Of stern Achilles on his Foe pursu'd	Of	stern	A	chill	es	on	his	Foe	pur	su'd	
15	stress	Of stern Achilles on his Foe pursu'd	1	3	1	4	1	1	1	3	1	4	
15	juncture	Of stern Achilles on his Foe pursu'd	2	3	1	1	4	2	2	3	1	3	
15	comment	Of stern Achilles on his Foe pursu'd											
16	syllables	Thrice Fugitive about Troy Wall; or rage	Thrice	Fu	gi	tive	a	bout	Troy	Wall;	or	rage	
16	stress	Thrice Fugitive about Troy Wall; or rage	3	4	1	1	1	2	3	4	1	4	
16	juncture	Thrice Fugitive about Troy Wall; or rage	3	1	1	4	1	2	3	5	2	3	
16	comment	Thrice Fugitive about Troy Wall; or rage											
17	syllables	Of Turnus for Lavinia disespous'd,	Of	Tur	nus	for	La	vi	nia	dis	es	pous'd,	
17	stress	Of Turnus for Lavinia disespous'd,	1	3	1	1	1	3	1	2	1	4	
17	juncture	Of Turnus for Lavinia disespous'd,	2	1	4	2	1	1	3	1	1	5	
17	comment	Of Turnus for Lavinia disespous'd,											
18	syllables	Or Neptun's ire or Juno's, that so long	Or	Nep	tun's	ire	or	Ju	no's,	that	so	long	
18	stress	Or Neptun's ire or Juno's, that so long	1	3	1	3	1	4	1	1	1	3	
18	juncture	Or Neptun's ire or Juno's, that so long	2	1	4	4	2	1	5	2	2	4	
18	comment	Or Neptun's ire or Juno's, that so long											
19	syllables	Perplex'd the Greek and Cytherea's Son;	Per	plex'd	the	Greek	and	Cy	the	re	a's	Son;	
19	stress	Perplex'd the Greek and Cytherea's Son;	1	3	1	4	1	2	1	3	1	4	
19	juncture	Perplex'd the Greek and Cytherea's Son;	1	3	2	4	2	1	1	1	4	5	
19	comment	Perplex'd the Greek and Cytherea's Son;											
20	syllables	If answerable style I can obtaine	If	an	swer	a	ble	style	I	can	ob	taine	
20	stress	If answerable style I can obtaine	1	3	1	2	1	3	1	1	1	3	
20	juncture	If answerable style I can obtaine	2	1	1	1	3	4	2	2	1	3	
20	comment	If answerable style I can obtaine											
21	syllables	Of my Celestial Patroness, who deignes	Of	my	Ce	les	tial	Pa	tro	ness,	who	deignes	
21	stress	Of my Celestial Patroness, who deignes	1	1	1	3	1	4	1	1	1	3	
21	juncture	Of my Celestial Patroness, who deignes	2	2	1	1	3	1	1	5	2	3	
21	comment	Of my Celestial Patroness, who deignes											
22	syllables	Her nightly visitation unimplor'd,	Her	night	ly	vi	si	ta	tion	un	im	plor'd,	
22	stress	Her nightly visitation unimplor'd,	1	3	1	2	1	3	1	2	1	4	
22	juncture	Her nightly visitation unimplor'd,	2	1	3	1	1	1	4	1	1	5	
22	comment	Her nightly visitation unimplor'd,											
23	syllables	And dictates to me slumb'ring, or inspires	And	dic	tates	to	me	slumb'	ring,	or	in	spires	
23	stress	And dictates to me slumb'ring, or inspires	1	3	1	1	1	4	1	1	1	3	
23	juncture	And dictates to me slumb'ring, or inspires	2	1	3	2	3	1	5	2	1	3	
23	comment	And dictates to me slumb'ring, or inspires											
24	syllables	Easie my unpremeditated Verse:	Ea	sie	my	un	pre	me	di	ta	ted	Verse:	
24	stress	Easie my unpremeditated Verse:	3	1	1	2	1	3	1	2	1	4	
24	juncture	Easie my unpremeditated Verse:	1	4	2	1	1	1	1	1	3	5	
24	comment	Easie my unpremeditated Verse:											
25	syllables	Since first this Subject for Heroic Song	Since	first	this	Sub	ject	for	He	ro	ic	Song	
25	stress	Since first this Subject for Heroic Song	1	3	1	3	1	1	1	3	1	4	
25	juncture	Since first this Subject for Heroic Song	2	3	2	1	3	2	1	1	3	4	
25	comment	Since first this Subject for Heroic Song											
26	syllables	Pleas'd me long choosing, and beginning late;	Pleas'd	me	long	choo	sing,	and	be	gin	ning	late;	
26	stress	Pleas'd me long choosing, and beginning late;	3	1	3	4	1	1	1	3	1	4	
26	juncture	Pleas'd me long choosing, and beginning late;	2	3	3	1	5	2	1	1	3	5	
26	comment	Pleas'd me long choosing, and beginning late;											
27	syllables	Not sedulous by Nature to indite	Not	se	du	lous	by	Na	ture	to	in	dite	
27	stress	Not sedulous by Nature to indite	1	3	1	1	1	3	1	1	1	3	
27	juncture	Not sedulous by Nature to indite	2	1	1	3	2	1	4	2	1	3	
27	comment	Not sedulous by Nature to indite											
28	syllables	Warrs, hitherto the onely Argument	Warrs,	hi	ther	to	the	one	ly	Ar	gu	ment	
28	stress	Warrs, hitherto the onely Argument	4	3	1	1	1	3	1	3	1	1	
28	juncture	Warrs, hitherto the onely Argument	5	1	1	3	2	1	3	1	1	4	
28	comment	Warrs, hitherto the onely Argument											
29	syllables	Heroic deem'd, chief maistrie to dissect	He	ro	ic	deem'd,	chief	mais	trie	to	dis	sect	
29	stress	Heroic deem'd, chief maistrie to dissect	1	3	1	4	3	4	1	1	1	3	
29	juncture	Heroic deem'd, chief maistrie to dissect	1	1	4	5	3	1	4	2	1	3	
29	comment	Heroic deem'd, chief maistrie to dissect											
30	syllables	With long and tedious havoc fabl'd Knights	With	long	and	te	di ous	ha	voc	fa	bl'd	Knights	
30	stress	With long and tedious havoc fabl'd Knights	1	3	1	3	1	4	1	3	1	4	
30	juncture	With long and tedious havoc fabl'd Knights	2	3	2	1	3	1	3	1	3	4	
30	comment	With long and tedious havoc fabl'd Knights											
31	syllables	In Battels feign'd; the better fortitude	In	Bat	tels	feign'd;	the	bet	ter	for	ti	tude	
31	stress	In Battels feign'd; the better fortitude	1	3	1	4	1	3	1	3	1	1	
31	juncture	In Battels feign'd; the better fortitude	2	1	4	5	2	1	3	1	1	3	
31	comment	In Battels feign'd; the better fortitude											
32	syllables	Of Patience and Heroic Martyrdom	Of	Pa	tience	and	He	ro	ic	Mar	tyr	dom	
32	stress	Of Patience and Heroic Martyrdom	1	3	1	1	1	3	1	3	1	1	
32	juncture	Of Patience and Heroic Martyrdom	2	1	3	2	1	1	3	1	1	4	
32	comment	Of Patience and Heroic Martyrdom											
33	syllables	Unsung; or to describe Races and Games,	Un	sung;	or	to	des	cribe	Rac	es	and	Games,	
33	stress	Unsung; or to describe Races and Games,	1	4	1	1	1	3	3	1	1	4	
33	juncture	Unsung; or to describe Races and Games,	1	5	2	2	1	3	1	4	2	5	
33	comment	Unsung; or to describe Races and Games,											
34	syllables	Or tilting Furniture, emblazon'd Shields,	Or	til	ting	Fur	ni	ture,	em	bla	zon'd	Shields,	
34	stress	Or tilting Furniture, emblazon'd Shields,	1	3	1	4	1	1	1	3	1	4	
34	juncture	Or tilting Furniture, emblazon'd Shields,	2	1	3	1	1	5	1	1	3	5	
34	comment	Or tilting Furniture, emblazon'd Shields,											
35	syllables	Impreses quaint, Caparisons and Steeds;	Im	pres	es	quaint,	Ca	pa	ri	sons	and	Steeds;	
35	stress	Impreses quaint, Caparisons and Steeds;	1	3	1	4	1	3	1	1	1	4	
35	juncture	Impreses quaint, Caparisons and Steeds;	1	1	4	5	1	1	1	4	2	5	
35	comment	Impreses quaint, Caparisons and Steeds;											
36	syllables	Bases and tinsel Trappings, gorgious Knights	Bas	es	and	tin	sel	Trap	pings,	gor	gious	Knights	
36	stress	Bases and tinsel Trappings, gorgious Knights	3	1	1	3	1	4	1	3	1	4	
36	juncture	Bases and tinsel Trappings, gorgious Knights	1	4	2	1	3	1	5	1	3	4	
36	comment	Bases and tinsel Trappings, gorgious Knights											
37	syllables	At Joust and Torneament; then marshal'd Feast	At	Joust	and	Tor	nea	ment;	then	mars	hal'd	Feast	
37	stress	At Joust and Torneament; then marshal'd Feast	1	3	1	4	1	1	1	3	1	4	
37	juncture	At Joust and Torneament; then marshal'd Feast	2	4	2	1	1	5	2	1	3	3	
37	comment	At Joust and Torneament; then marshal'd Feast											
38	syllables	Serv'd up in Hall with Sewers, and Seneshals;	Serv'd	up	in	Hall	with	Se wers,	and	Se	nes	hals;	
38	stress	Serv'd up in Hall with Sewers, and Seneshals;	2	3	1	3	1	4	1	4	1	1	
38	juncture	Serv'd up in Hall with Sewers, and Seneshals;	2	3	2	4	2	5	2	1	1	5	
38	comment	Serv'd up in Hall with Sewers, and Seneshals;	particle verb										
39	syllables	The skill of Artifice or Office mean,	The	skill	of	Ar	ti	fice	or	Of	fice	mean,	
39	stress	The skill of Artifice or Office mean,	1	3	1	4	1	1	1	3	1	4	
39	juncture	The skill of Artifice or Office mean,	2	3	2	1	1	4	2	1	4	5	
39	comment	The skill of Artifice or Office mean,											
40	syllables	Not that which justly gives Heroic name	Not	that	which	just	ly	gives	He	ro	ic	name	
40	stress	Not that which justly gives Heroic name	1	2	1	3	1	3	1	3	1	4	
40	juncture	Not that which justly gives Heroic name	2	2	2	1	3	3	1	1	3	4	
40	comment	Not that which justly gives Heroic name											
41	syllables	To Person or to Poem. Mee of these	To	Per	son	or	to	Po	em.	Mee	of	these	
41	stress	To Person or to Poem. Mee of these	1	3	1	1	1	4	1	2	1	3	
41	juncture	To Person or to Poem. Mee of these	2	1	4	2	2	1	5	4	2	4	
41	comment	To Person or to Poem. Mee of these											
42	syllables	Nor skilld nor studious, higher Argument	Nor	skilld	nor	stu	di ous,	high	er	Ar	gu	ment	
42	stress	Nor skilld nor studious, higher Argument	1	3	1	4	1	3	1	4	1	1	
42	juncture	Nor skilld nor studious, higher Argument	2	4	2	1	5	1	3	1	1	4	
42	comment	Nor skilld nor studious, higher Argument											
43	syllables	Remaines, sufficient of it self to raise	Re	maines,	suf	fi	cient	of	it	self	to	raise	
43	stress	Remaines, sufficient of it self to raise	1	3	1	3	1	1	1	3	1	3	
43	juncture	Remaines, sufficient of it self to raise	1	5	1	1	3	2	2	4	2	3	
43	comment	Remaines, sufficient of it self to raise											
44	syllables	That name, unless an age too late, or cold	That	name,	un	less	an	age	too	late,	or	cold	
44	stress	That name, unless an age too late, or cold	1	4	1	2	1	3	1	4	1	3	
44	juncture	That name, unless an age too late, or cold	2	5	1	3	2	3	2	5	2	3	
44	comment	That name, unless an age too late, or cold											
45	syllables	Climat, or Years damp my intended wing	Cli	mat,	or	Years	damp	my	in	ten	ded	wing	
45	stress	Climat, or Years damp my intended wing	4	1	1	3	3	1	1	3	1	3	
45	juncture	Climat, or Years damp my intended wing	1	5	2	4	3	2	1	1	3	4	
45	comment	Climat, or Years damp my intended wing											
46	syllables	Deprest, and much they may, if all be mine,	De	prest,	and	much	they	may,	if	all	be	mine,	
46	stress	Deprest, and much they may, if all be mine,	1	4	1	2	1	4	1	2	1	4	
46	juncture	Deprest, and much they may, if all be mine,	1	5	2	2	2	5	2	4	2	5	
46	comment	Deprest, and much they may, if all be mine,											
47	syllables	Not Hers who brings it nightly to my Ear.	Not	Hers	who	brings	it	night	ly	to	my	Ear.	
47	stress	Not Hers who brings it nightly to my Ear.	1	3	1	3	1	3	1	1	1	4	
47	juncture	Not Hers who brings it nightly to my Ear.	2	4	2	2	3	1	4	2	2	5	
47	comment	Not Hers who brings it nightly to my Ear.											
48	syllables	The Sun was sunk, and after him the Starr	The	Sun	was	sunk,	and	af	ter	him	the	Starr	
48	stress	The Sun was sunk, and after him the Starr	1	3	1	4	1	2	1	1	1	3	
48	juncture	The Sun was sunk, and after him the Starr	2	4	2	5	2	1	2	4	2	3	
48	comment	The Sun was sunk, and after him the Starr											
49	syllables	Of Hesperus, whose Office is to bring	Of	Hes	pe	rus,	whose	Of	fice	is	to	bring	
49	stress	Of Hesperus, whose Office is to bring	1	4	1	1	1	3	1	1	1	3	
49	juncture	Of Hesperus, whose Office is to bring	2	1	1	5	2	1	4	2	2	3	
49	comment	Of Hesperus, whose Office is to bring											
50	syllables	Twilight upon the Earth, short Arbiter	Twi	light	u	pon	the	Earth,	short	Ar	bi	ter	
50	stress	Twilight upon the Earth, short Arbiter	3	2	1	2	1	4	3	4	1	1	
50	juncture	Twilight upon the Earth, short Arbiter	2	4	1	2	2	5	3	1	1	3	
50	comment	Twilight upon the Earth, short Arbiter											
51	syllables	Twixt Day and Night, and now from end to end	Twixt	Day	and	Night,	and	now	from	end	to	end	
51	stress	Twixt Day and Night, and now from end to end	1	3	1	4	1	3	1	3	1	4	
51	juncture	Twixt Day and Night, and now from end to end	3	4	2	5	2	3	2	3	2	4	
51	comment	Twixt Day and Night, and now from end to end											
52	syllables	Nights Hemisphere had veild the Horizon round:	Nights	He	misp	here	had	veild	the Ho	ri	zon	round:	
52	stress	Nights Hemisphere had veild the Horizon round:	3	4	1	1	1	3	1	3	1	4	
52	juncture	Nights Hemisphere had veild the Horizon round:	4	1	1	4	2	3	1	1	4	5	
52	comment	Nights Hemisphere had veild the Horizon round:											
53	syllables	When Satan who late fled before the threats	When	Sa	tan	who	late	fled	be	fore	the	threats	
53	stress	When Satan who late fled before the threats	1	3	1	1	3	3	1	2	1	3	
53	juncture	When Satan who late fled before the threats	2	1	4	2	3	3	1	2	2	3	
53	comment	When Satan who late fled before the threats											
54	syllables	Of Gabriel out of Eden, now improv'd	Of	Ga	briel	out	of	E	den,	now	im	prov'd	
54	stress	Of Gabriel out of Eden, now improv'd	1	3	1	1	1	4	1	3	1	3	
54	juncture	Of Gabriel out of Eden, now improv'd	2	1	4	2	2	1	5	3	1	3	
54	comment	Of Gabriel out of Eden, now improv'd											
55	syllables	In meditated fraud and malice, bent	In	me	di	ta	ted	fraud	and	ma	lice,	bent	
55	stress	In meditated fraud and malice, bent	1	3	1	2	1	3	1	4	1	3	
55	juncture	In meditated fraud and malice, bent	2	1	1	1	3	4	2	1	5	3	
55	comment	In meditated fraud and malice, bent											
56	syllables	On mans destruction, maugre what might hap	On	mans	des	truc	tion,	mau	gre	what	might	hap	
56	stress	On mans destruction, maugre what might hap	1	3	1	4	1	3	1	1	1	3	
56	juncture	On mans destruction, maugre what might hap	2	4	1	1	5	1	3	2	2	3	
56	comment	On mans destruction, maugre what might hap											
57	syllables	Of heavier on himself, fearless return'd.	Of	hea	vi er	on	him	self,	fear	less	re	turn'd.	
57	stress	Of heavier on himself, fearless return'd.	1	3	1	1	1	4	3	1	1	4	
57	juncture	Of heavier on himself, fearless return'd.	2	1	4	2	1	5	1	3	1	5	
57	comment	Of heavier on himself, fearless return'd.											
58	syllables	By Night he fled, and at Midnight return'd.	By	Night	he	fled,	and	at	Mid	night	re	turn'd.	
58	stress	By Night he fled, and at Midnight return'd.	1	3	1	4	1	1	3	2	1	4	
58	juncture	By Night he fled, and at Midnight return'd.	2	4	2	5	2	2	2	4	1	5	
58	comment	By Night he fled, and at Midnight return'd.											
59	syllables	From compassing the Earth, cautious of day,	From	com	pas	sing	the	Earth,	cau	tious	of	day,	
59	stress	From compassing the Earth, cautious of day,	1	3	1	1	1	4	3	1	1	4	
59	juncture	From compassing the Earth, cautious of day,	2	1	1	3	2	5	1	3	2	5	
59	comment	From compassing the Earth, cautious of day,											
60	syllables	Since Uriel Regent of the Sun descri'd	Since	U	ri el	Re	gent	of	the	Sun	des	cri'd	
60	stress	Since Uriel Regent of the Sun descri'd	1	3	1	3	1	1	1	4	1	3	
60	juncture	Since Uriel Regent of the Sun descri'd	2	1	4	1	3	2	2	4	1	3	
60	comment	Since Uriel Regent of the Sun descri'd											
61	syllables	His entrance, and forewarnd the Cherubim	His	en	trance,	and	fore	warnd	the	Che	ru	bim	
61	stress	His entrance, and forewarnd the Cherubim	1	4	1	1	1	3	1	3	1	1	
61	juncture	His entrance, and forewarnd the Cherubim	2	1	5	2	1	3	2	1	1	3	
61	comment	His entrance, and forewarnd the Cherubim											
62	syllables	That kept thir watch; thence full of anguish driv'n,	That	kept	thir	watch;	thence	full	of	an	guish	driv'n,	
62	stress	That kept thir watch; thence full of anguish driv'n,	1	3	1	4	1	3	1	3	1	4	
62	juncture	That kept thir watch; thence full of anguish driv'n,	2	3	2	5	2	3	2	1	4	5	
62	comment	That kept thir watch; thence full of anguish driv'n,											
63	syllables	The space of seven continu'd Nights he rode	The	space	of	se ven	con	ti	nu'd	Nights	he	rode	
63	stress	The space of seven continu'd Nights he rode	1	3	1	3	1	3	1	4	1	3	
63	juncture	The space of seven continu'd Nights he rode	2	3	2	3	1	1	3	4	2	4	
63	comment	The space of seven continu'd Nights he rode											
64	syllables	With darkness, thrice the Equinoctial Line	With	dark	ness,	thrice	the	E	qui	noc	tial	Line	
64	stress	With darkness, thrice the Equinoctial Line	1	4	1	3	1	2	1	3	1	4	
64	juncture	With darkness, thrice the Equinoctial Line	2	1	5	3	2	1	1	1	3	4	
64	comment	With darkness, thrice the Equinoctial Line											
65	syllables	He circl'd, four times cross'd the Carr of Night	He	cir	cl'd,	four	times	cross'd	the	Carr	of	Night	
65	stress	He circl'd, four times cross'd the Carr of Night	1	4	1	3	4	3	1	3	1	4	
65	juncture	He circl'd, four times cross'd the Carr of Night	2	1	5	3	4	3	2	3	2	4	
65	comment	He circl'd, four times cross'd the Carr of Night											
66	syllables	From Pole to Pole, traversing each Colure;	From	Pole	to	Pole,	tra	ver	sing	each	Co	lure;	
66	stress	From Pole to Pole, traversing each Colure;	1	3	1	4	1	3	1	1	1	4	
66	juncture	From Pole to Pole, traversing each Colure;	2	4	2	5	1	1	3	2	1	5	
66	comment	From Pole to Pole, traversing each Colure;	Colure in Milton: hapax WS, OED says either is fine.										
67	syllables	On the eighth return'd, and on the Coast averse	On	the eighth	re	turn'd,	and	on	the	Coast	a	verse	
67	stress	On the eighth return'd, and on the Coast averse	1	3	1	4	1	1	1	3	1	3	
67	juncture	On the eighth return'd, and on the Coast averse	2	4	1	5	2	2	2	3	1	3	
67	comment	On the eighth return'd, and on the Coast averse											
68	syllables	From entrance or Cherubic Watch, by stealth	From	en	trance	or	Che	ru	bic	Watch,	by	stealth	
68	stress	From entrance or Cherubic Watch, by stealth	1	3	1	1	1	3	1	4	1	3	
68	juncture	From entrance or Cherubic Watch, by stealth	2	1	4	2	1	1	3	5	2	4	
68	comment	From entrance or Cherubic Watch, by stealth											
69	syllables	Found unsuspected way. There was a place,	Found	un	sus	pec	ted	way.	There	was	a	place,	
69	stress	Found unsuspected way. There was a place,	3	2	1	3	1	4	1	1	1	4	
69	juncture	Found unsuspected way. There was a place,	3	1	1	1	3	5	2	2	2	5	
69	comment	Found unsuspected way. There was a place,											
70	syllables	Now not, though Sin, not Time, first wraught the change,	Now	not,	though	Sin,	not	Time,	first	wraught	the	change,	
70	stress	Now not, though Sin, not Time, first wraught the change,	3	1	1	4	1	4	3	3	1	4	
70	juncture	Now not, though Sin, not Time, first wraught the change,	3	5	2	5	2	5	3	3	2	5	
70	comment	Now not, though Sin, not Time, first wraught the change,											
71	syllables	Where Tigris at the foot of Paradise	Where	Ti	gris	at	the	foot	of	Pa	ra	dise	
71	stress	Where Tigris at the foot of Paradise	1	3	1	1	1	3	1	4	1	1	
71	juncture	Where Tigris at the foot of Paradise	2	1	4	2	2	3	2	1	1	4	
71	comment	Where Tigris at the foot of Paradise											
72	syllables	Into a Gulf shot under ground, till part	In	to	a	Gulf	shot	un	der	ground,	till	part	
72	stress	Into a Gulf shot under ground, till part	1	2	1	3	3	2	1	4	1	3	
72	juncture	Into a Gulf shot under ground, till part	1	2	2	4	3	1	3	5	2	4	
72	comment	Into a Gulf shot under ground, till part	into in Milton: 44 WS; 32 SW; 62 postpausal.  All but 2 of the SW are in RR contexts.  Shakespeare is similar.										
73	syllables	Rose up a Fountain by the Tree of Life;	Rose	up	a	Foun	tain	by	the	Tree	of	Life;	
73	stress	Rose up a Fountain by the Tree of Life;	2	3	1	4	1	1	1	3	1	4	
73	juncture	Rose up a Fountain by the Tree of Life;	2	3	2	1	4	2	2	3	2	5	
73	comment	Rose up a Fountain by the Tree of Life;	particle verb										
74	syllables	In with the River sunk, and with it rose	In	with	the	Ri	ver	sunk,	and	with	it	rose	
74	stress	In with the River sunk, and with it rose	1	1	1	3	1	4	1	1	1	3	
74	juncture	In with the River sunk, and with it rose	2	2	2	1	4	5	2	2	2	3	
74	comment	In with the River sunk, and with it rose											
75	syllables	Satan involv'd in rising Mist, then sought	Sa	tan	in	volv'd	in	ri	sing	Mist,	then	sought	
75	stress	Satan involv'd in rising Mist, then sought	3	1	1	3	1	3	1	4	1	3	
75	juncture	Satan involv'd in rising Mist, then sought	1	4	1	3	2	1	3	5	2	3	
75	comment	Satan involv'd in rising Mist, then sought											
76	syllables	Where to lie hid; Sea he had searcht and Land	Where	to	lie	hid;	Sea	he	had	searcht	and	Land	
76	stress	Where to lie hid; Sea he had searcht and Land	1	1	3	4	3	1	1	4	1	3	
76	juncture	Where to lie hid; Sea he had searcht and Land	2	2	4	5	4	2	2	4	2	4	
76	comment	Where to lie hid; Sea he had searcht and Land											
77	syllables	From Eden over Pontus, and the Poole	From	E	den	o	ver	Pon	tus,	and	the	Poole	
77	stress	From Eden over Pontus, and the Poole	1	3	1	2	1	4	1	1	1	3	
77	juncture	From Eden over Pontus, and the Poole	2	1	4	1	2	1	5	2	2	4	
77	comment	From Eden over Pontus, and the Poole											
78	syllables	Maeotis, up beyond the River Ob;	Mae	o	tis,	up	be	yond	the	Ri	ver	Ob;	
78	stress	Maeotis, up beyond the River Ob;	1	3	1	1	1	2	1	3	1	4	
78	juncture	Maeotis, up beyond the River Ob;	1	1	5	2	1	2	2	1	4	5	
78	comment	Maeotis, up beyond the River Ob;											
79	syllables	Downward as farr Antartic; and in length	Down	ward	as	farr	An	tar	tic;	and	in	length	
79	stress	Downward as farr Antartic; and in length	3	1	1	3	1	4	1	1	1	3	
79	juncture	Downward as farr Antartic; and in length	1	3	2	3	1	1	5	2	2	4	
79	comment	Downward as farr Antartic; and in length											
80	syllables	West from Orontes to the Ocean barr'd	West	from	O	ron	tes	to	the	O	cean	barr'd	
80	stress	West from Orontes to the Ocean barr'd	3	1	1	4	1	1	1	3	1	3	
80	juncture	West from Orontes to the Ocean barr'd	3	2	1	1	4	2	2	1	4	3	
80	comment	West from Orontes to the Ocean barr'd											
81	syllables	At Darien, thence to the Land where flowes	At	Da	ri	en,	thence	to	the	Land	where	flowes	
81	stress	At Darien, thence to the Land where flowes	1	4	1	1	2	1	1	3	1	3	
81	juncture	At Darien, thence to the Land where flowes	2	1	1	5	2	2	2	3	2	4	
81	comment	At Darien, thence to the Land where flowes											
82	syllables	Ganges and Indus: thus the Orb he roam'd	Gang	es	and	In	dus:	thus	the	Orb	he	roam'd	
82	stress	Ganges and Indus: thus the Orb he roam'd	3	1	1	4	1	1	1	3	1	3	
82	juncture	Ganges and Indus: thus the Orb he roam'd	1	4	2	1	5	2	2	4	2	4	
82	comment	Ganges and Indus: thus the Orb he roam'd											
83	syllables	With narrow search; and with inspection deep	With	nar	row	search;	and	with	ins	pec	tion	deep	
83	stress	With narrow search; and with inspection deep	1	3	1	4	1	1	1	3	1	4	
83	juncture	With narrow search; and with inspection deep	2	1	3	5	2	2	1	1	3	4	
83	comment	With narrow search; and with inspection deep											
84	syllables	Consider'd every Creature, which of all	Con	si	der'd	eve	ry	Crea	ture,	which	of	all	
