# source: http://www.linguistics.ucla.edu/people/hayes/ShakespeareAndMilton/
# author: shakespeare
# title: sonnets
# coder: bruce hayes
1	syllables	From fairest creatures we desire increase,	From	fai	rest	crea	tures	we	de	sire	in	crease,	
12	comment	And tender churl mak'st waste in niggarding:											
13	syllables	Pity the world, or else this glutton be,	Pi	ty	the	world,	or	else	this	glut	ton	be,	
13	stress	Pity the world, or else this glutton be,	3	1	1	4	1	3	1	4	1	2	
13	juncture	Pity the world, or else this glutton be,	1	3	2	5	2	3	2	1	4	5	
13	comment	Pity the world, or else this glutton be,											
14	syllables	To eat the world's due, by the grave and thee.	To	eat	the	world's	due,	by	the	grave	and	thee.	
14	stress	To eat the world's due, by the grave and thee.	1	3	1	3	4	1	1	3	1	1	
14	juncture	To eat the world's due, by the grave and thee.	2	3	2	4	5	2	2	4	2	5	
14	comment	To eat the world's due, by the grave and thee.											
15	syllables	When forty winters shall besiege thy brow,	When	for	ty	win	ters	shall	be	siege	thy	brow,	
15	stress	When forty winters shall besiege thy brow,	1	3	1	4	1	1	1	3	1	4	
15	juncture	When forty winters shall besiege thy brow,	2	1	3	1	4	2	1	3	2	5	
15	comment	When forty winters shall besiege thy brow,	poem initial										
16	syllables	And dig deep trenches in thy beauty's field,	And	dig	deep	trench	es	in	thy	beau	ty's	field,	
16	stress	And dig deep trenches in thy beauty's field,	1	3	2	4	1	1	1	3	1	4	
16	juncture	And dig deep trenches in thy beauty's field,	2	3	3	1	4	2	2	1	4	5	
16	comment	And dig deep trenches in thy beauty's field,											
17	syllables	Thy youth's proud livery so gazed on now,	Thy	youth's	proud	li	ve	ry	so	gazed	on	now,	
17	stress	Thy youth's proud livery so gazed on now,	1	3	2	3	1	1	1	4	1	2	
17	juncture	Thy youth's proud livery so gazed on now,	2	4	3	1	1	4	2	3	4	5	
17	comment	Thy youth's proud livery so gazed on now,											
18	syllables	Will be a tatter'd weed of small worth held:	Will	be	a	tat	ter'd	weed	of	small	worth	held:	
18	stress	Will be a tatter'd weed of small worth held:	1	1	1	3	1	4	1	3	4	4	
18	juncture	Will be a tatter'd weed of small worth held:	2	2	2	1	3	4	2	3	4	5	
18	comment	Will be a tatter'd weed of small worth held:											
19	syllables	Then being asked, where all thy beauty lies,	Then	be	ing	asked,	where	all	thy	beau	ty	lies,	
19	stress	Then being asked, where all thy beauty lies,	1	2	1	4	1	2	1	3	1	4	
19	juncture	Then being asked, where all thy beauty lies,	2	1	2	5	2	2	2	1	4	5	
19	comment	Then being asked, where all thy beauty lies,											
20	syllables	Where all the treasure of thy lusty days;	Where	all	the	trea	sure	of	thy	lus	ty	days;	
20	stress	Where all the treasure of thy lusty days;	1	2	1	3	1	1	1	3	1	4	
20	juncture	Where all the treasure of thy lusty days;	2	2	2	1	3	2	2	1	3	5	
20	comment	Where all the treasure of thy lusty days;											
21	syllables	To say, within thine own deep sunken eyes,	To	say,	wi	thin	thine	own	deep	sun	ken	eyes,	
21	stress	To say, within thine own deep sunken eyes,	1	4	1	2	1	2	3	2	1	4	
21	juncture	To say, within thine own deep sunken eyes,	2	4	1	2	2	2	3	1	3	5	
21	comment	To say, within thine own deep sunken eyes,											
22	syllables	Were an all-eating shame, and thriftless praise.	Were	an	all-	ea	ting	shame,	and	thrift	less	praise.	
22	stress	Were an all-eating shame, and thriftless praise.	1	1	3	2	1	4	1	3	1	4	
22	juncture	Were an all-eating shame, and thriftless praise.	2	2	2	1	3	5	2	1	3	5	
22	comment	Were an all-eating shame, and thriftless praise.											
23	syllables	How much more praise deserv'd thy beauty's use,	How	much	more	praise	de	serv'd	thy	beau	ty's	use,	
23	stress	How much more praise deserv'd thy beauty's use,	1	2	2	3	1	3	1	3	1	4	
23	juncture	How much more praise deserv'd thy beauty's use,	2	2	2	4	1	3	2	1	3	5	
23	comment	How much more praise deserv'd thy beauty's use,											
24	syllables	If thou couldst answer 'This fair child of mine	If	thou	couldst	ans	wer	'This	fair	child	of	mine	
24	stress	If thou couldst answer 'This fair child of mine	1	1	1	3	1	1	3	4	1	2	
24	juncture	If thou couldst answer 'This fair child of mine	2	2	2	1	5	2	3	3	2	4	
24	comment	If thou couldst answer 'This fair child of mine											
25	syllables	Shall sum my count, and make my old excuse,'	Shall	sum	my	count,	and	make	my	old	ex	cuse',	
25	stress	Shall sum my count, and make my old excuse,'	1	3	1	4	1	3	1	3	1	4	
25	juncture	Shall sum my count, and make my old excuse,'	2	3	2	5	2	3	2	3	1	5	
25	comment	Shall sum my count, and make my old excuse,'											
26	syllables	Proving his beauty by succession thine!	Pro	ving	his	beau	ty	by	suc	ces	sion	thine!	
26	stress	Proving his beauty by succession thine!	3	1	1	4	1	1	1	3	1	4	
26	juncture	Proving his beauty by succession thine!	1	3	2	1	4	2	1	1	4	5	
26	comment	Proving his beauty by succession thine!											
27	syllables	This were to be new made when thou art old,	This	were	to	be	new	made	when	thou	art	old,	
27	stress	This were to be new made when thou art old,	1	1	1	1	3	4	1	1	1	4	
27	juncture	This were to be new made when thou art old,	2	2	2	2	3	4	2	2	2	5	
27	comment	This were to be new made when thou art old,											
28	syllables	And see thy blood warm when thou feel'st it cold.	And	see	thy	blood	warm	when	thou	feel'st	it	cold.	
28	stress	And see thy blood warm when thou feel'st it cold.	1	3	1	3	4	1	1	3	1	4	
28	juncture	And see thy blood warm when thou feel'st it cold.	2	3	2	4	4	2	2	2	3	5	
28	comment	And see thy blood warm when thou feel'st it cold.											
29	syllables	Look in thy glass and tell the face thou viewest	Look	in	thy	glass	and	tell	the	face	thou	vie	west
29	stress	Look in thy glass and tell the face thou viewest	3	1	1	4	1	3	1	3	1	4	1
29	juncture	Look in thy glass and tell the face thou viewest	3	2	2	4	2	3	2	3	2	1	5
29	comment	Look in thy glass and tell the face thou viewest	poem initial										
30	syllables	Now is the time that face should form another;	Now	is	the	time	that	face	should	form	a	no	ther;
30	stress	Now is the time that face should form another;	3	1	1	3	1	3	1	3	1	4	1
30	juncture	Now is the time that face should form another;	4	2	2	3	2	4	2	3	1	1	5
30	comment	Now is the time that face should form another;											
31	syllables	Whose fresh repair if now thou not renewest,	Whose	fresh	re	pair	if	now	thou	not	re	ne	west,
31	stress	Whose fresh repair if now thou not renewest,	1	3	1	4	1	3	1	1	1	4	1
31	juncture	Whose fresh repair if now thou not renewest,	2	3	1	4	2	3	2	2	1	1	5
31	comment	Whose fresh repair if now thou not renewest,											
32	syllables	Thou dost beguile the world, unbless some mother.	Thou	dost	be	guile	the	world,	un	bless	some	mo	ther.
32	stress	Thou dost beguile the world, unbless some mother.	1	1	1	3	1	4	1	3	1	4	1
32	juncture	Thou dost beguile the world, unbless some mother.	2	2	1	3	2	5	1	3	2	1	5
32	comment	Thou dost beguile the world, unbless some mother.											
33	syllables	For where is she so fair whose unear'd womb	For	where	is	she	so	fair	whose	un	ear'd	womb	
33	stress	For where is she so fair whose unear'd womb	1	1	1	3	1	4	1	3	1	4	
33	juncture	For where is she so fair whose unear'd womb	2	2	2	2	2	4	2	1	3	4	
33	comment	For where is she so fair whose unear'd womb	RR										
34	syllables	Disdains the tillage of thy husbandry?	Dis	dains	the	til	lage	of	thy	hus	ban	dry?	
34	stress	Disdains the tillage of thy husbandry?	1	3	1	3	1	1	1	4	1	1	
34	juncture	Disdains the tillage of thy husbandry?	1	3	2	1	3	2	2	1	1	5	
34	comment	Disdains the tillage of thy husbandry?											
35	syllables	Or who is he so fond will be the tomb,	Or	who	is	he	so	fond	will	be	the	tomb,	
35	stress	Or who is he so fond will be the tomb,	1	1	1	3	1	3	1	1	1	4	
35	juncture	Or who is he so fond will be the tomb,	2	2	2	2	2	4	2	2	2	5	
35	comment	Or who is he so fond will be the tomb,											
36	syllables	Of his self-love to stop posterity?	Of	his	self-	love	to	stop	pos	te	ri	ty?	
36	stress	Of his self-love to stop posterity?	1	1	2	3	1	3	1	4	1	1	
36	juncture	Of his self-love to stop posterity?	2	2	2	4	2	3	1	1	1	5	
36	comment	Of his self-love to stop posterity?											
37	syllables	Thou art thy mother's glass and she in thee	Thou	art	thy	mo	ther's	glass	and	she	in	thee	
37	stress	Thou art thy mother's glass and she in thee	1	1	1	3	1	4	1	3	1	4	
37	juncture	Thou art thy mother's glass and she in thee	2	2	2	1	4	4	2	2	2	3	
37	comment	Thou art thy mother's glass and she in thee											
38	syllables	Calls back the lovely April of her prime;	Calls	back	the	lo	vely	A	pril	of	her	prime;	
38	stress	Calls back the lovely April of her prime;	3	4	1	3	1	4	1	1	1	4	
38	juncture	Calls back the lovely April of her prime;	3	4	2	1	3	1	3	2	2	5	
38	comment	Calls back the lovely April of her prime;											
39	syllables	So thou through windows of thine age shalt see,	So	thou	through	win	dows	of	thine	age	shalt	see,	
39	stress	So thou through windows of thine age shalt see,	1	3	1	3	1	1	1	3	1	4	
39	juncture	So thou through windows of thine age shalt see,	2	2	2	1	3	2	2	4	2	5	
39	comment	So thou through windows of thine age shalt see,											
40	syllables	Despite of wrinkles this thy golden time.	Des	pite	of	wrink	les	this	thy	gol	den	time.	
40	stress	Despite of wrinkles this thy golden time.	1	2	1	3	1	3	1	3	1	4	
40	juncture	Despite of wrinkles this thy golden time.	1	2	2	1	4	2	2	1	3	5	
40	comment	Despite of wrinkles this thy golden time.											
41	syllables	But if thou live, remember'd not to be,	But	if	thou	live,	re	mem	ber'd	not	to	be,	
41	stress	But if thou live, remember'd not to be,	1	1	1	4	1	3	1	1	1	2	
41	juncture	But if thou live, remember'd not to be,	2	2	2	4	1	1	2	3	2	5	
41	comment	But if thou live, remember'd not to be,											
42	syllables	Die single and thine image dies with thee.	Die	sin	gle	and	thine	i	mage	dies	with	thee.	
42	stress	Die single and thine image dies with thee.	3	4	1	1	1	3	1	3	1	4	
42	juncture	Die single and thine image dies with thee.	3	1	4	2	2	1	4	3	2	5	
42	comment	Die single and thine image dies with thee.											
43	syllables	Unthrifty loveliness, why dost thou spend	Unth	rif	ty	love	li	ness,	why	dost	thou	spend	
43	stress	Unthrifty loveliness, why dost thou spend	1	3	1	4	1	1	2	1	1	4	
43	juncture	Unthrifty loveliness, why dost thou spend	1	1	3	1	1	5	2	2	2	3	
43	comment	Unthrifty loveliness, why dost thou spend	poem initial										
44	syllables	Upon thy self thy beauty's legacy?	U	pon	thy	self	thy	beau	ty's	le	ga	cy?	
44	stress	Upon thy self thy beauty's legacy?	1	2	1	3	1	3	1	4	1	1	
44	juncture	Upon thy self thy beauty's legacy?	1	2	2	4	2	1	4	1	1	5	
44	comment	Upon thy self thy beauty's legacy?											
45	syllables	Nature's bequest gives nothing, but doth lend,	Na	ture's	be	quest	gives	no	thing,	but	doth	lend,	
45	stress	Nature's bequest gives nothing, but doth lend,	3	1	1	4	3	4	1	1	1	4	
45	juncture	Nature's bequest gives nothing, but doth lend,	1	3	1	4	3	1	5	2	2	5	
45	comment	Nature's bequest gives nothing, but doth lend,											
46	syllables	And being frank she lends to those are free:	And	be	ing	frank	she	lends	to	those	are	free:	
46	stress	And being frank she lends to those are free:	1	2	1	4	1	3	1	1	1	4	
46	juncture	And being frank she lends to those are free:	2	1	2	4	2	3	2	2	2	5	
46	comment	And being frank she lends to those are free:											
47	syllables	Then, beauteous niggard, why dost thou abuse	Then,	beau	teous	nig	gard,	why	dost	thou	a	buse	
47	stress	Then, beauteous niggard, why dost thou abuse	1	3	1	4	1	1	1	1	1	3	
47	juncture	Then, beauteous niggard, why dost thou abuse	3	1	3	1	5	2	2	2	1	3	
47	comment	Then, beauteous niggard, why dost thou abuse											
48	syllables	The bounteous largess given thee to give?	The	boun	teous	lar	gess	gi	ven	thee	to	give?	
48	stress	The bounteous largess given thee to give?	1	3	1	4	1	3	1	1	1	4	
48	juncture	The bounteous largess given thee to give?	2	1	3	1	4	1	2	4	2	5	
48	comment	The bounteous largess given thee to give?											
49	syllables	Profitless usurer, why dost thou use	Pro	fit	less	u	su	rer,	why	dost	thou	use	
49	stress	Profitless usurer, why dost thou use	3	1	1	4	1	1	2	1	1	3	
49	juncture	Profitless usurer, why dost thou use	1	1	3	1	1	5	2	2	2	3	
49	comment	Profitless usurer, why dost thou use											
50	syllables	So great a sum of sums, yet canst not live?	So	great	a	sum	of	sums,	yet	canst	not	live?	
50	stress	So great a sum of sums, yet canst not live?	1	3	1	3	1	4	1	1	1	4	
50	juncture	So great a sum of sums, yet canst not live?	2	4	2	3	2	5	2	2	2	5	
50	comment	So great a sum of sums, yet canst not live?											
51	syllables	For having traffic with thy self alone,	For	ha	ving	traf	fic	with	thy	self	a	lone,	
51	stress	For having traffic with thy self alone,	1	2	1	3	1	1	1	3	1	4	
51	juncture	For having traffic with thy self alone,	2	1	2	1	3	2	2	3	1	5	
51	comment	For having traffic with thy self alone,											
52	syllables	Thou of thy self thy sweet self dost deceive:	Thou	of	thy	self	thy	sweet	self	dost	de	ceive:	
52	stress	Thou of thy self thy sweet self dost deceive:	1	1	1	3	1	3	4	1	1	4	
52	juncture	Thou of thy self thy sweet self dost deceive:	2	2	2	4	2	3	4	2	1	5	
52	comment	Thou of thy self thy sweet self dost deceive:	Sweet self in Shakespeare:  2 RR context, 1 SW, 4 WS.  Looks like a normal phrase to me.										
53	syllables	Then how when nature calls thee to be gone,	Then	how	when	na	ture	calls	thee	to	be	gone,	
53	stress	Then how when nature calls thee to be gone,	1	1	1	3	1	3	1	1	1	4	
53	juncture	Then how when nature calls thee to be gone,	2	2	2	1	4	2	3	2	2	5	
53	comment	Then how when nature calls thee to be gone,											
54	syllables	What acceptable audit canst thou leave?	What	ac	cep	ta	ble	au	dit	canst	thou	leave?	
54	stress	What acceptable audit canst thou leave?	1	3	1	2	1	4	1	1	1	4	
54	juncture	What acceptable audit canst thou leave?	2	1	1	1	3	1	4	2	2	5	
54	comment	What acceptable audit canst thou leave?	Check acceptable / hapax in Shakespeare / OED gives initial stress as option, making it very likely for Shakespeare										
55	syllables	Thy unused beauty must be tombed with thee,	Thy	un	us ed	beau	ty	must	be	tombed	with	thee,	
55	stress	Thy unused beauty must be tombed with thee,	1	3	1	3	1	1	1	3	1	1	
55	juncture	Thy unused beauty must be tombed with thee,	2	1	3	1	4	2	2	3	2	5	
55	comment	Thy unused beauty must be tombed with thee,	RR										
56	syllables	Which, used, lives th' executor to be.	Which,	u sed,	lives	th'	e	xe	cu	tor	to	be.	
56	stress	Which, used, lives th' executor to be.	1	4	3	1	1	3	1	1	1	2	
56	juncture	Which, used, lives th' executor to be.	1	4	3	2	1	1	1	4	2	5	
56	comment	Which, used, lives th' executor to be.											
57	syllables	Those hours, that with gentle work did frame	Those	ho	urs,	that	with	gent	le	work	did	frame	
57	stress	Those hours, that with gentle work did frame	1	4	1	1	1	3	1	3	1	4	
57	juncture	Those hours, that with gentle work did frame	2	1	3	2	2	1	3	3	2	3	
57	comment	Those hours, that with gentle work did frame	poem initial										
58	syllables	The lovely gaze where every eye doth dwell,	The	lo	vely	gaze	where	e	very	eye	doth	dwell,	
58	stress	The lovely gaze where every eye doth dwell,	1	3	1	4	1	2	1	3	1	4	
58	juncture	The lovely gaze where every eye doth dwell,	2	1	3	4	2	1	2	4	2	4	
58	comment	The lovely gaze where every eye doth dwell,											
59	syllables	Will play the tyrants to the very same	Will	play	the	ty	rants	to	the	ve	ry	same	
59	stress	Will play the tyrants to the very same	1	3	1	4	1	1	1	2	1	4	
59	juncture	Will play the tyrants to the very same	2	3	2	1	4	2	2	1	3	5	
59	comment	Will play the tyrants to the very same											
60	syllables	And that unfair which fairly doth excel;	And	that	un	fair	which	fair	ly	doth	ex	cel;	
60	stress	And that unfair which fairly doth excel;	1	1	1	3	1	3	1	1	1	4	
60	juncture	And that unfair which fairly doth excel;	2	2	1	4	2	1	4	2	1	5	
60	comment	And that unfair which fairly doth excel;											
61	syllables	For never-resting time leads summer on	For	ne	ver-	res	ting	time	leads	sum	mer	on	
61	stress	For never-resting time leads summer on	1	3	1	2	1	4	2	3	1	4	
61	juncture	For never-resting time leads summer on	2	1	2	1	3	4	3	1	4	3	
61	comment	For never-resting time leads summer on	RR										
62	syllables	To hideous winter, and confounds him there;	To	hi	deous	win	ter,	and	con	founds	him	there;	
62	stress	To hideous winter, and confounds him there;	1	3	1	4	1	1	1	3	1	1	
62	juncture	To hideous winter, and confounds him there;	2	1	3	1	5	2	1	2	3	5	
62	comment	To hideous winter, and confounds him there;											
63	syllables	Sap checked with frost, and lusty leaves quite gone,	Sap	checked	with	frost,	and	lus	ty	leaves	quite	gone,	
63	stress	Sap checked with frost, and lusty leaves quite gone,	3	3	1	4	1	3	1	3	1	4	
63	juncture	Sap checked with frost, and lusty leaves quite gone,	3	3	2	5	2	1	3	4	2	5	
63	comment	Sap checked with frost, and lusty leaves quite gone,											
64	syllables	Beauty o'er-snowed and bareness every where:	Beau	ty	o'er-	snowed	and	bare	ness	e	very	where:	
64	stress	Beauty o'er-snowed and bareness every where:	3	1	2	3	1	3	1	4	1	2	
64	juncture	Beauty o'er-snowed and bareness every where:	1	4	2	4	2	1	4	1	2	5	
64	comment	Beauty o'er-snowed and bareness every where:											
65	syllables	Then were not summer's distillation left,	Then	were	not	sum	mer's	dis	til	la	tion	left,	
65	stress	Then were not summer's distillation left,	1	1	1	3	1	2	1	3	1	3	
65	juncture	Then were not summer's distillation left,	2	2	2	1	3	1	1	1	4	5	
65	comment	Then were not summer's distillation left,											
66	syllables	A liquid prisoner pent in walls of glass,	A	li	quid	pri	soner	pent	in	walls	of	glass,	
66	stress	A liquid prisoner pent in walls of glass,	1	3	1	4	1	3	1	3	1	4	
66	juncture	A liquid prisoner pent in walls of glass,	2	1	3	1	4	3	2	3	2	5	
66	comment	A liquid prisoner pent in walls of glass,											
67	syllables	Beauty's effect with beauty were bereft,	Beau	ty's	ef	fect	with	beau	ty	were	be	reft,	
67	stress	Beauty's effect with beauty were bereft,	3	1	1	4	1	3	1	1	1	4	
67	juncture	Beauty's effect with beauty were bereft,	1	4	1	4	2	1	4	2	1	5	
67	comment	Beauty's effect with beauty were bereft,											
68	syllables	Nor it, nor no remembrance what it was:	Nor	it,	nor	no	re	mem	brance	what	it	was:	
68	stress	Nor it, nor no remembrance what it was:	1	4	1	1	1	3	1	1	1	4	
68	juncture	Nor it, nor no remembrance what it was:	2	4	2	2	1	1	4	2	2	5	
68	comment	Nor it, nor no remembrance what it was:											
69	syllables	But flowers distill'd, though they with winter meet,	But	flo wers	dis	till'd,	though	they	with	win	ter	meet,	
69	stress	But flowers distill'd, though they with winter meet,	1	3	1	4	1	1	1	3	1	4	
69	juncture	But flowers distill'd, though they with winter meet,	2	3	1	5	2	2	2	1	4	5	
69	comment	But flowers distill'd, though they with winter meet,											
70	syllables	Leese but their show; their substance still lives sweet.	Leese	but	their	show;	their	subs	tance	still	lives	sweet.	
70	stress	Leese but their show; their substance still lives sweet.	3	1	1	4	1	3	1	3	2	4	
70	juncture	Leese but their show; their substance still lives sweet.	3	2	2	5	2	1	4	3	3	5	
70	comment	Leese but their show; their substance still lives sweet.											
71	syllables	Then let not winter's ragged hand deface,	Then	let	not	win	ter's	rag	ged	hand	de	face,	
71	stress	Then let not winter's ragged hand deface,	1	3	1	3	1	3	1	3	1	3	
71	juncture	Then let not winter's ragged hand deface,	2	2	3	1	4	1	3	4	1	5	
71	comment	Then let not winter's ragged hand deface,	poem initial										
72	syllables	In thee thy summer, ere thou be distill'd:	In	thee	thy	sum	mer,	ere	thou	be	dis	till'd:	
72	stress	In thee thy summer, ere thou be distill'd:	1	1	1	4	1	1	1	1	1	4	
72	juncture	In thee thy summer, ere thou be distill'd:	2	4	2	1	5	2	2	2	1	5	
72	comment	In thee thy summer, ere thou be distill'd:											
73	syllables	Make sweet some vial; treasure thou some place	Make	sweet	some	vi	al;	trea	sure	thou	some	place	
73	stress	Make sweet some vial; treasure thou some place	2	3	1	4	1	3	1	1	1	4	
73	juncture	Make sweet some vial; treasure thou some place	3	4	2	1	5	1	2	3	2	4	
73	comment	Make sweet some vial; treasure thou some place											
74	syllables	With beauty's treasure ere it be self-kill'd.	With	beau	ty's	trea	sure	ere	it	be	self-	kill'd.	
74	stress	With beauty's treasure ere it be self-kill'd.	1	3	1	4	1	1	1	1	2	4	
74	juncture	With beauty's treasure ere it be self-kill'd.	2	1	4	1	4	2	2	2	2	5	
74	comment	With beauty's treasure ere it be self-kill'd.											
75	syllables	That use is not forbidden usury,	That	use	is	not	for	bid	den	u	su	ry,	
75	stress	That use is not forbidden usury,	1	3	1	1	1	3	1	4	1	1	
75	juncture	That use is not forbidden usury,	2	3	2	2	1	1	3	1	1	5	
75	comment	That use is not forbidden usury,											
76	syllables	Which happies those that pay the willing loan;	Which	hap	pies	those	that	pay	the	wil	ling	loan;	
76	stress	Which happies those that pay the willing loan;	1	3	1	1	1	3	1	3	1	4	
76	juncture	Which happies those that pay the willing loan;	2	1	2	3	2	3	2	1	3	5	
76	comment	Which happies those that pay the willing loan;											
77	syllables	That's for thy self to breed another thee,	That's	for	thy	self	to	breed	a	no	ther	thee,	
77	stress	That's for thy self to breed another thee,	1	1	1	4	1	3	1	3	1	4	
77	juncture	That's for thy self to breed another thee,	2	2	2	4	2	3	1	1	3	5	
77	comment	That's for thy self to breed another thee,											
78	syllables	Or ten times happier, be it ten for one;	Or	ten	times	hap	pier,	be	it	ten	for	one;	
78	stress	Or ten times happier, be it ten for one;	1	3	2	4	1	1	1	3	1	4	
78	juncture	Or ten times happier, be it ten for one;	2	3	4	1	5	2	2	4	2	5	
78	comment	Or ten times happier, be it ten for one;											
79	syllables	Ten times thy self were happier than thou art,	Ten	times	thy	self	were	hap	pier	than	thou	art,	
79	stress	Ten times thy self were happier than thou art,	3	3	1	3	1	3	1	1	1	4	
79	juncture	Ten times thy self were happier than thou art,	3	4	2	4	2	1	3	2	2	5	
79	comment	Ten times thy self were happier than thou art,											
80	syllables	If ten of thine ten times refigur'd thee:	If	ten	of	thine	ten	times	re	fi	gur'd	thee:	
80	stress	If ten of thine ten times refigur'd thee:	1	3	1	1	3	4	1	3	1	1	
80	juncture	If ten of thine ten times refigur'd thee:	2	3	2	4	3	4	1	1	2	5	
80	comment	If ten of thine ten times refigur'd thee:											
81	syllables	Then what could death do if thou shouldst depart,	Then	what	could	death	do	if	thou	shouldst	de	part,	
81	stress	Then what could death do if thou shouldst depart,	1	1	1	3	1	1	1	1	1	4	
81	juncture	Then what could death do if thou shouldst depart,	2	2	2	4	4	2	2	2	1	5	
81	comment	Then what could death do if thou shouldst depart,											
82	syllables	Leaving thee living in posterity?	Lea	ving	thee	li	ving	in	pos	te	ri	ty?	
82	stress	Leaving thee living in posterity?	3	1	1	3	1	1	1	4	1	1	
82	juncture	Leaving thee living in posterity?	1	2	3	1	3	2	1	1	1	5	
82	comment	Leaving thee living in posterity?											
83	syllables	Be not self-will'd, for thou art much too fair	Be	not	self-	will'd,	for	thou	art	much	too	fair	
83	stress	Be not self-will'd, for thou art much too fair	1	1	2	4	1	1	1	2	1	4	
83	juncture	Be not self-will'd, for thou art much too fair	2	2	2	5	2	2	2	2	2	3	
83	comment	Be not self-will'd, for thou art much too fair											
84	syllables	To be death's conquest and make worms thine heir.	To	be	death's	con	quest	and	make	worms	thine	heir.	
84	stress	To be death's conquest and make worms thine heir.	1	1	3	4	1	1	2	3	1	4	
84	juncture	To be death's conquest and make worms thine heir.	2	2	4	1	4	2	3	4	2	5	
84	comment	To be death's conquest and make worms thine heir.											
85	syllables	Lo! in the orient when the gracious light	Lo!	in	the	o	rient	when	the	gra	ci ous	light	
85	stress	Lo! in the orient when the gracious light	4	1	1	3	1	1	1	3	1	4	
85	juncture	Lo! in the orient when the gracious light	4	2	2	1	3	2	2	1	3	4	
85	comment	Lo! in the orient when the gracious light	poem initial										
86	syllables	Lifts up his burning head, each under eye	Lifts	up	his	bur	ning	head,	each	un	der	eye	
